Years,High Rainfall,Low Rainfall,Moderate Rainfall,Very High Rainfall,Very Low Rainfall
2001,3204.5238,6948.7542,4885.3557,2019.2904,3235.7853
2002,6402.789,4601.7585,6177.1563,1189.3464,1922.6592
2003,5174.5266,5071.1481,6516.8757,713.9655,2817.1935
2004,676.737,11239.6275,2223.0009,338.1822,5816.1618
2005,2131.2153,6763.0698,7322.6862,504.9702,3571.7679
2006,2852.6013,5342.3361,10234.3374,651.24,1213.1946
2007,1649.4426,6041.5299,10736.3853,424.4283,1441.9233
2008,5257.3077,4694.4891,7906.131,1031.7366,1404.045
2009,950.6223,6912.4248,3405.717,203.139,8821.8063
2010,2166.5205,5974.2117,6527.2779,386.9253,5238.774
2011,3012.5529,8455.4757,5767.3962,470.2689,2588.0157
2012,2862.5679,6166.7397,4789.7622,633.0888,5841.5508
2013,3291.5862,7395.9813,4652.7732,1040.6493,3912.7194
2014,5968.8063,5014.8189,5537.4174,1270.2672,2502.3996
2015,3618.0576,6970.6188,5281.1235,660.5991,3763.3104
2016,4715.343,4967.5599,6074.8119,705.5109,3830.4837
2017,3982.257,6728.6502,6288.1677,396.8478,2897.7867
2018,4805.7525,4925.4435,6083.8857,853.866,3624.7617
2019,4377.8745,5486.1057,3240.3042,2340.1386,4849.2864
